function,beta,etaL,init,T,iterate_type,kappa_exp,R2,f_at_k10,f_at_k100,f_at_k1000,f_at_k10000
f1_quad2d,0.5,1.5,zero_mom,10000,cesaro,1.9739,1.0000,6.10988907219778e-08,5.6099890571997804e-06,0.0005559999055699076,0.05016556179009678
f1_quad2d,0.5,1.5,zero_mom,10000,pr,4.0364,0.9993,1.2190215150233134e-14,2.321826355407886e-10,2.4528711781310924e-06,0.015827766167128214
f1_quad2d,0.5,1.5,zero_mom,10000,suffix,,,0.0,9.339208073359347e-273,4.555232596483173e-27,0.0012741700214414693
f1_quad2d,0.5,1.5,zero_mom,10000,best,,,0.0,1.922167125272512e-274,3.354714308827479e-27,0.0012367742353943667
f1_quad2d,0.5,2.0,zero_mom,100,last,9.0129,0.7000,5.358115692087462e-30,0.00010721678732529021,0.22540492804196904,0.4619060361697945
f1_quad2d,0.5,2.0,zero_mom,100,cesaro,1.0602,0.8765,0.00033697676698362945,0.03012397276831459,0.34474423348235617,0.511460262793283
f1_quad2d,0.5,2.0,zero_mom,100,pr,2.0432,0.8281,2.716272303855361e-07,0.005869646967730483,0.29755779862893705,0.4744467202385108
f1_quad2d,0.5,2.0,zero_mom,100,suffix,8.9054,0.6963,1.0878361225138896e-29,0.0001598795466550491,0.23374963423899892,0.4635735097731896
f1_quad2d,0.5,2.0,zero_mom,100,best,9.2848,0.6970,6.64723028455747e-31,0.00010721678732529021,0.22540492804196904,0.4619060361697945
f1_quad2d,0.5,2.0,zero_mom,1000,last,93.2854,0.6975,3.912251689007197e-301,4.269217583324177e-38,0.0001610874146614101,0.2247365855681206
f1_quad2d,0.5,2.0,zero_mom,1000,cesaro,1.6969,0.9828,3.430635298767167e-06,0.00031499469561407624,0.030118074730335287,0.3401690757295392
f1_quad2d,0.5,2.0,zero_mom,1000,pr,3.3994,0.9660,2.8655817227029442e-11,7.157034975280589e-07,0.006388183214295522,0.29614133863675873
f1_quad2d,0.5,2.0,zero_mom,1000,suffix,91.3173,0.6980,9.32218253715038e-295,1.7763726079286947e-37,0.00018199351015229495,0.22745422497699813
f1_quad2d,0.5,2.0,zero_mom,1000,best,93.2854,0.6975,3.912251689007197e-301,4.269217583324177e-38,0.0001610874146614101,0.2247365855681206
f1_quad2d,0.5,2.0,zero_mom,10000,last,,,0.0,0.0,5.598138743536077e-36,0.00016706104177944062
f1_quad2d,0.5,2.0,zero_mom,10000,cesaro,1.9824,1.0000,3.436812603111252e-08,3.1556188446748765e-06,0.0003127499468831239,0.03011600250901222
f1_quad2d,0.5,2.0,zero_mom,10000,pr,4.1080,0.9993,2.8810834753393704e-15,7.195751925810412e-11,7.745476777241223e-07,0.006441205842339732
f1_quad2d,0.5,2.0,zero_mom,10000,suffix,,,0.0,0.0,8.45124883562012e-36,0.0001738367310131947
f1_quad2d,0.5,2.0,zero_mom,10000,best,,,0.0,0.0,5.598138743536077e-36,0.00016706104177944062
f1_quad2d,0.5,2.5,zero_mom,100,last,9.1396,0.7258,4.008373919226994e-30,1.067998769910126e-05,0.18442224936215884,0.4528383619797295
f1_quad2d,0.5,2.5,zero_mom,100,cesaro,1.1288,0.8912,0.00021566513086952225,0.019640286154564986,0.3137421955355431,0.4957713156181501
f1_quad2d,0.5,2.5,zero_mom,100,pr,2.2305,0.8452,8.020261411525723e-08,0.0025811661172684573,0.2618917990296193,0.46827077346647994
f1_quad2d,0.5,2.5,zero_mom,100,suffix,8.9032,0.7230,2.1137118524347e-29,1.785855831139026e-05,0.19301730038123124,0.45488320353421136
f1_quad2d,0.5,2.5,zero_mom,100,best,9.1396,0.7258,4.008373919226994e-30,1.067998769910126e-05,0.18442224936215884,0.4528383619797295
f1_quad2d,0.5,2.5,zero_mom,1000,last,94.1529,0.7234,5.0229555620417244e-301,3.090661060538941e-48,2.1252831913804208e-05,0.18398592648910325
f1_quad2d,0.5,2.5,zero_mom,1000,cesaro,1.7440,0.9883,2.1956065912109867e-06,0.00020159660519300878,0.019723202603945687,0.3100517047545447
f1_quad2d,0.5,2.5,zero_mom,1000,pr,3.5471,0.9725,8.46112316484248e-12,2.870789110616908e-07,0.0029087915606667222,0.26052387661998483
f1_quad2d,0.5,2.5,zero_mom,1000,suffix,92.1844,0.7239,1.050610509697924e-294,1.993278538387413e-47,2.477070856042936e-05,0.18677236287584417
f1_quad2d,0.5,2.5,zero_mom,1000,best,94.1565,0.7234,4.8857950977968e-301,3.090661060538941e-48,2.1252831913804208e-05,0.18398592648910325
f1_quad2d,0.5,2.5,zero_mom,10000,last,,,0.0,0.0,8.779135148097188e-45,2.255269970079134e-05
f1_quad2d,0.5,2.5,zero_mom,10000,cesaro,1.9855,1.0000,2.1995600659912012e-08,2.019596060591921e-06,0.0002001599660051993,0.019730580553278573
f1_quad2d,0.5,2.5,zero_mom,10000,pr,4.1657,0.9990,8.506894757147307e-16,2.8863190333238942e-11,3.1661799315996536e-07,0.002942710880941433
f1_quad2d,0.5,2.5,zero_mom,10000,suffix,,,0.0,0.0,1.4764859254350549e-44,2.3702975276311812e-05
f1_quad2d,0.5,2.5,zero_mom,10000,best,,,0.0,0.0,8.779135148097188e-45,2.255269970079134e-05
f1_quad2d,0.5,2.9,zero_mom,100,last,8.5697,0.7579,5.617002952440636e-28,1.5751316171599901e-06,0.15700132879446976,0.44571068113759127
f1_quad2d,0.5,2.9,zero_mom,100,cesaro,1.1746,0.9003,0.0001602743243679574,0.014670835605726629,0.29151834236924623,0.4870446711182753
f1_quad2d,0.5,2.9,zero_mom,100,pr,2.3648,0.8552,3.321140095572866e-08,0.001444770482563368,0.23661113261400557,0.4633909499328093
f1_quad2d,0.5,2.9,zero_mom,100,suffix,8.7496,0.7473,1.1785276286616994e-28,2.9016686816359476e-06,0.16553764611392632,0.44804665771981417
f1_quad2d,0.5,2.9,zero_mom,100,best,8.5697,0.7579,5.617002952440636e-28,1.5751316171599901e-06,0.15700132879446976,0.44571068113759127
f1_quad2d,0.5,2.9,zero_mom,1000,last,94.4103,0.7451,2.2157093256196228e-299,1.1687880233247217e-56,4.185502690180707e-06,0.1567669393079481
f1_quad2d,0.5,2.9,zero_mom,1000,cesaro,1.7735,0.9912,1.6316933644552519e-06,0.00014981911800907312,0.01476369742105609,0.28825254330526184
f1_quad2d,0.5,2.9,zero_mom,1000,pr,3.6511,0.9760,3.5036981906820562e-12,1.5589331961906864e-07,0.0016691903059850629,0.23533431334286511
f1_quad2d,0.5,2.9,zero_mom,1000,suffix,92.6616,0.7452,7.644716659078947e-294,1.1006938356244893e-55,5.002335052150117e-06,0.15952527309931963
