function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.5,2.0,10000,zero_mom,100,cesaro,0.511460262793283088476683569814
f1_quad2d,0.5,2.0,10000,zero_mom,100,pr,0.474446720238510798441824999737
f1_quad2d,0.5,2.0,10000,zero_mom,100,suffix,0.463573509773189629492039088033
f1_quad2d,0.5,2.0,10000,zero_mom,100,best,0.461906036169794490317559362649
f1_quad2d,0.5,2.0,10000,zero_mom,1000,last,0.224736585568120599361682732601
f1_quad2d,0.5,2.0,10000,zero_mom,1000,cesaro,0.340169075729539174569771264383
f1_quad2d,0.5,2.0,10000,zero_mom,1000,pr,0.296141338636758749424111858528
f1_quad2d,0.5,2.0,10000,zero_mom,1000,suffix,0.227454224976998141275613107566
f1_quad2d,0.5,2.0,10000,zero_mom,1000,best,0.224736585568120599361682732601
f1_quad2d,0.9,1.0,10,zero_mom,100,last,0.0000161021862570807630520413743094
f1_quad2d,0.9,1.0,10,zero_mom,100,cesaro,0.0000555050930520536393358940623443
f1_quad2d,0.9,1.0,10,zero_mom,100,pr,0.000000914835622289603813343232558918
f1_quad2d,0.9,1.0,10,zero_mom,100,suffix,0.00000849559958931985073696594543644
f1_quad2d,0.9,1.0,10,zero_mom,100,best,0.0000161021862570807630520413743094
f1_quad2d,0.9,1.0,10,zero_mom,1000,last,8.82117811111795191076248046577e-46
f1_quad2d,0.9,1.0,10,zero_mom,1000,cesaro,0.000000548901647802746460084344076773
f1_quad2d,0.9,1.0,10,zero_mom,1000,pr,1.42982246038213363864001735316e-10
f1_quad2d,0.9,1.0,10,zero_mom,1000,suffix,4.02868320025183057641731334665e-47
f1_quad2d,0.9,1.0,10,zero_mom,1000,best,2.95669918231383246514632915188e-47
f1_quad2d,0.9,1.0,100,zero_mom,100,last,0.0000945993683024522294938267663223
f1_quad2d,0.9,1.0,100,zero_mom,100,cesaro,0.00501047019376069531669289984538
f1_quad2d,0.9,1.0,100,zero_mom,100,pr,0.00000500544349377739660370869459218
f1_quad2d,0.9,1.0,100,zero_mom,100,suffix,0.0000480673653822642706494677470876
f1_quad2d,0.9,1.0,100,zero_mom,100,best,0.0000945993683024522294938267663223
f1_quad2d,0.9,1.0,100,zero_mom,1000,last,8.86447596718535924711505312744e-45
